,file_name,cnt_nv,cnt_v,cnt_otro,status
367,Num166Line15Vers10,115,80,0,[]
368,Num215Line16Vers21,115,80,0,[]
369,Num519Line82Vers2,117,78,0,[]
370,Num218Line16Vers24,115,80,0,[]
371,Num434Line43Vers20,1,20,0,[]
372,Num127Line14Vers8,115,80,0,[]
373,Num1356Line150Vers4,1,194,0,[]
374,Num1303Line144Vers2,115,80,0,[]
375,Num147Line14Vers28,115,80,0,[]
376,Num149Line14Vers30,115,80,0,[]
377,Num1377Line152Vers1,3,192,0,[]
378,Num1307Line144Vers6,115,80,0,[]
379,Num12Line7Vers12,115,80,0,[]
380,Num123Line14Vers4,115,80,0,[]
381,Num302Line22Vers1,117,78,0,[]
382,Num1212Line138Vers10,0,45,0,[]
383,Num155Line14Vers36,115,80,0,[]
384,Num773Line101Vers49,112,82,0,[]
385,Num455Line61Vers4,33,161,0,[]
386,Num191Line15Vers35,115,80,0,[]
387,Num151Line14Vers32,115,80,0,[]
388,Num938Line114Vers43,108,87,0,[]
389,Num339Line34Vers11,115,80,0,[]
390,Num268Line20Vers19,115,80,0,[]
391,Num83Line13Vers1,115,80,0,[]
392,Num233Line17Vers1,115,80,0,[]
393,Num21Line8Vers8,115,80,0,[]
394,Num635Line86Vers17,91,97,0,[]
395,Num137Line14Vers18,115,80,0,[]
396,Num45Line10Vers6,117,78,0,[]
397,Num1331Line146Vers17,101,94,0,[]
398,Num411Line42Vers14,28,167,0,[]
399,Num1300Line143Vers2,115,80,0,[]
400,Num283Line20Vers34,115,80,0,[]
401,Num158Line15Vers2,115,80,0,[]
402,Num61Line11Vers15,115,80,0,[]
403,Num143Line14Vers24,115,80,0,[]
